huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
30.6,2.45,25.9,1.87,32.36,2.1,50.25,1.88,33.58,1.88,P
48.8,3.78,59.47,3.17,26.14,2.24,36.01,1.63,11.65,2.0,P
49.12,3.59,60.95,2.99,26.35,2.0,37.29,1.81,10.39,2.03,P
26.92,2.73,31.54,2.01,19.1,1.59,26.68,1.35,13.21,1.23,P
27.07,2.66,31.95,1.87,18.8,1.51,26.38,1.33,12.52,1.16,P
27.57,2.67,31.6,2.12,18.92,1.52,30.42,1.58,12.46,1.46,P
18.55,2.12,21.08,1.41,18.19,1.3,25.97,1.17,11.26,1.57,P
18.46,1.79,21.12,1.47,18.83,1.21,26.33,1.05,11.41,1.56,P
47.17,3.96,56.57,2.87,33.6,2.68,50.66,2.49,32.03,2.06,P
44.47,4.24,55.77,3.43,38.57,3.06,52.8,2.82,18.57,3.6,P
31.72,2.64,40.0,1.99,20.36,1.59,32.21,1.62,17.72,1.52,P
33.81,2.8,42.82,2.22,18.88,1.45,26.28,1.31,14.45,1.29,P
45.57,4.64,57.13,2.93,28.32,2.26,36.95,1.96,19.75,2.16,P
46.38,3.41,39.8,3.48,54.67,4.08,85.88,4.04,63.75,3.09,P
43.97,3.54,38.38,3.14,52.49,4.25,83.15,4.12,61.08,3.04,P
41.3,3.44,56.2,2.72,36.7,2.69,62.6,2.52,37.91,2.21,P
19.76,1.43,22.85,1.19,16.33,1.27,24.41,0.99,14.89,0.94,P
9.85,2.88,14.73,1.73,16.27,1.22,20.89,1.25,7.77,1.23,P
27.55,2.35,32.32,1.75,22.54,1.84,33.32,1.61,20.52,1.5,P
37.86,3.24,46.72,2.63,27.52,2.26,42.49,1.89,26.88,1.54,P
44.18,3.88,50.72,3.49,39.58,3.9,50.89,3.61,35.14,2.82,P
20.36,2.03,23.45,1.79,16.93,1.87,25.01,1.59,15.49,1.54,P
41.9,4.04,56.8,3.32,37.3,3.29,63.2,3.12,38.51,2.81,P
41.6,3.74,56.5,3.02,37.0,2.99,62.9,2.82,38.21,2.51,P
20.06,1.73,23.15,1.49,16.63,1.57,24.71,1.29,15.19,1.24,P
27.85,2.65,32.62,2.05,22.84,2.14,33.62,1.91,20.82,1.8,P
29.14,2.75,32.91,2.16,23.13,2.11,33.89,1.8,20.86,1.7,P
27.72,2.67,32.0,2.21,22.68,2.13,32.5,1.76,19.65,1.64,P
39.98,3.34,47.5,2.64,28.57,2.53,42.96,2.2,27.66,1.67,P
29.81,2.59,35.05,2.28,21.48,2.11,31.89,1.84,21.67,1.52,P
28.55,2.65,33.74,2.38,19.56,1.98,29.21,1.64,18.75,1.53,P
36.88,3.18,46.28,2.77,26.08,2.19,39.44,2.03,25.6,1.98,P
34.15,2.98,40.67,2.45,24.72,1.98,37.35,1.93,23.49,1.67,P
33.79,3.04,42.13,2.56,23.09,2.21,34.74,2.07,22.12,1.78,P
34.07,3.26,41.34,2.62,24.25,2.3,36.35,2.13,24.69,2.12,P
31.28,2.83,36.88,2.2,22.3,2.1,32.6,1.68,20.47,1.54,P
41.36,3.52,49.34,2.83,30.97,2.46,44.31,2.43,29.97,2.05,P
30.51,2.69,35.33,2.29,21.9,2.04,32.26,1.65,22.52,1.43,P
28.15,2.95,32.92,2.35,23.14,2.44,33.92,2.21,21.12,2.1,P
28.84,2.45,32.61,1.86,22.83,1.81,33.59,1.5,20.56,1.4,P
29.51,2.29,34.75,1.98,21.18,1.81,31.59,1.54,21.37,1.22,P
44.17,3.94,55.47,3.13,38.27,2.76,52.5,2.52,18.27,3.3,P
9.55,2.58,14.43,1.43,15.97,0.92,20.59,0.95,7.47,0.93,P
31.42,2.34,39.7,1.69,20.06,1.29,31.91,1.32,17.42,1.22,P
33.51,2.5,42.52,1.92,18.58,1.15,25.98,1.01,14.15,0.99,P
45.27,4.34,56.83,2.63,28.02,1.96,36.65,1.66,19.45,1.86,P
46.08,3.11,39.5,3.18,54.37,3.78,85.58,3.74,63.45,2.79,P
43.67,3.24,38.08,2.84,52.19,3.95,82.85,3.82,60.78,2.74,P
18.16,1.49,20.82,1.17,18.53,0.91,26.03,0.75,11.11,1.26,P
45.3,3.05,38.43,3.22,54.15,3.8,83.29,3.42,63.61,2.37,P
29.95,1.99,24.84,1.57,31.31,1.88,50.68,1.7,33.2,1.63,P
30.3,2.15,25.6,1.57,32.06,1.8,49.95,1.58,33.28,1.58,P
28.96,2.36,27.33,1.93,27.57,1.73,38.6,1.51,24.92,1.32,P
45.6,3.35,38.73,3.52,54.45,4.1,83.59,3.72,63.91,2.67,P
42.52,2.99,36.73,2.91,52.24,3.81,81.57,3.71,61.27,2.71,P
30.25,2.29,25.14,1.87,31.61,2.18,50.98,2.0,33.5,1.93,P
29.26,2.66,27.63,2.23,27.87,2.03,38.9,1.81,25.22,1.62,P
42.22,2.69,36.43,2.61,51.94,3.51,81.27,3.41,60.97,2.41,P
27.42,2.37,31.7,1.91,22.38,1.83,32.2,1.46,19.35,1.34,P
18.25,1.82,20.78,1.11,17.89,1.0,25.67,0.87,10.96,1.27,P
26.77,2.36,31.65,1.57,18.5,1.21,26.08,1.03,12.22,0.86,P
30.21,2.39,35.03,1.99,21.6,1.74,31.96,1.35,22.22,1.13,P
28.25,2.35,33.44,2.08,19.26,1.68,28.91,1.34,18.45,1.23,P
36.58,2.88,45.98,2.47,25.78,1.89,39.14,1.73,25.3,1.68,P
33.85,2.68,40.37,2.15,24.42,1.68,37.05,1.63,23.19,1.37,P
33.49,2.74,41.83,2.26,22.79,1.91,34.44,1.77,21.82,1.48,P
33.77,2.96,41.04,2.32,23.95,2.0,36.05,1.83,24.39,1.82,P
30.98,2.53,36.58,1.9,22.0,1.8,32.3,1.38,20.17,1.24,P
27.27,2.37,31.3,1.82,18.62,1.22,30.12,1.28,12.16,1.16,P
41.36,3.26,48.52,2.5,31.64,2.22,45.89,2.01,30.43,1.65,P
43.88,3.58,50.42,3.19,39.28,3.6,50.59,3.31,34.84,2.52,P
39.68,3.04,47.2,2.34,28.27,2.23,42.66,1.9,27.36,1.37,P
37.56,2.94,46.42,2.33,27.22,1.96,42.19,1.59,26.58,1.24,P
46.87,3.66,56.27,2.57,33.3,2.38,50.36,2.19,31.73,1.76,P
48.5,3.48,59.17,2.87,25.84,1.94,35.71,1.33,11.35,1.7,P
48.82,3.29,60.65,2.69,26.05,1.7,36.99,1.51,10.09,1.73,P
26.62,2.43,31.24,1.71,18.8,1.29,26.38,1.05,12.91,0.93,P
41.06,3.22,49.04,2.53,30.67,2.16,44.01,2.13,29.67,1.75,P
29.44,3.05,33.21,2.46,23.43,2.41,34.19,2.1,21.16,2.0,P
41.66,3.56,48.82,2.8,31.94,2.52,46.19,2.31,30.73,1.95,P
30.11,2.89,35.35,2.58,21.78,2.41,32.19,2.14,21.97,1.82,P
27.22,3.03,31.84,2.31,19.4,1.89,26.98,1.65,13.51,1.53,P
27.37,2.96,32.25,2.17,19.1,1.81,26.68,1.63,12.82,1.46,P
