"Año";"periodo";"ue";"euz"
"2015";"Enero";"10.5";"11.3"
"2015";"Febrero";"10.5";"11.3"
"2015";"Marzo";"10.4";"11.2"
"2015";"Abril";"10.3";"11.1"
"2015";"Mayo";"10.2";"11.1"
"2015";"Junio";"10.2";"11"
"2015";"Julio";"10";"10.8"
"2015";"Agosto";"9.9";"10.7"
"2015";"Septiembre";"9.8";"10.7"
"2015";"Octubre";"9.8";"10.7"
"2015";"Noviembre";"9.7";"10.5"
"2015";"Diciembre";"9.7";"10.5"
"2016";"Enero";"9.6";"10.4"
"2016";"Febrero";"9.5";"10.4"
"2016";"Marzo";"9.4";"10.3"
"2016";"Abril";"9.3";"10.2"
"2016";"Mayo";"9.3";"10.2"
"2016";"Junio";"9.2";"10.1"
"2016";"Julio";"9.1";"10"
"2016";"Agosto";"9";"9.9"
"2016";"Septiembre";"9";"9.9"
"2016";"Octubre";"8.9";"9.8"
"2016";"Noviembre";"8.9";"9.8"
"2016";"Diciembre";"8.7";"9.7"
"2017";"Enero";"8.6";"9.6"
"2017";"Febrero";"8.5";"9.5"
"2017";"Marzo";"8.5";"9.4"
"2017";"Abril";"8.3";"9.2"
"2017";"Mayo";"8.3";"9.2"
"2017";"Junio";"8.2";"9.1"
"2017";"Julio";"8.1";"9"
"2017";"Agosto";"8.1";"9"
"2017";"Septiembre";"8";"8.9"
"2017";"Octubre";"7.9";"8.8"
"2017";"Noviembre";"7.8";"8.7"
"2017";"Diciembre";"7.8";"8.7"
"2018";"Enero";"7.7";"8.7"
"2018";"Febrero";"7.6";"8.6"
"2018";"Marzo";"7.5";"8.5"
"2018";"Abril";"7.5";"8.4"
"2018";"Mayo";"7.3";"8.3"
"2018";"Junio";"7.3";"8.2"
"2018";"Julio";"7.2";"8.1"
"2018";"Agosto";"7.1";"8"
"2018";"Septiembre";"7.1";"8"
"2018";"Octubre";"7.1";"8"
"2018";"Noviembre";"7.1";"7.9"
"2018";"Diciembre";"7";"7.8"
"2019";"Enero";"7";"7.8"
"2019";"Febrero";"7";"7.8"
"2019";"Marzo";"6.9";"7.7"
"2019";"Abril";"6.8";"7.7"
"2019";"Mayo";"6.8";"7.7"
"2019";"Junio";"6.6";"7.5"
"2019";"Julio";"6.6";"7.5"
"2019";"Agosto";"6.6";"7.4"
"2019";"Septiembre";"6.6";"7.4"
"2019";"Octubre";"6.6";"7.4"
"2019";"Noviembre";"6.6";"7.5"
"2019";"Diciembre";"6.6";"7.5"
"2020";"Enero";"6.6";"7.5"
"2020";"Febrero";"6.6";"7.4"
"2020";"Marzo";"6.4";"7.1"
"2020";"Abril";"6.6";"7.3"
"2020";"Mayo";"6.9";"7.5"
"2020";"Junio";"7.3";"8"
"2020";"Julio";"7.6";"8.4"
"2020";"Agosto";"7.7";"8.5"
"2020";"Septiembre";"7.7";"8.5"
"2020";"Octubre";"7.5";"8.3"
"2020";"Noviembre";"7.3";"8.2"
"2020";"Diciembre";"7.4";"8.2"
"2021";"Enero";"7.5";"8.2"
"2021";"Febrero";"7.5";"8.2"
"2021";"Marzo";"7.4";"8.1"
"2021";"Abril";"7.5";"8.2"
"2021";"Mayo";"7.3";"8"
"2021";"Junio";"7.1";"7.8"
"2021";"Julio";"6.9";"7.6"
"2021";"Agosto";"6.8";"7.5"
