Periodo,Personas
2002-Trimestre 1,2153
2002-Trimestre 2,2103
2002-Trimestre 3,2196
2002-Trimestre 4,2233
2003-Trimestre 1,2329
2003-Trimestre 2,2216
2003-Trimestre 3,2247
2003-Trimestre 4,2277
2004-Trimestre 1,2310
2004-Trimestre 2,2248
2004-Trimestre 3,2200
2004-Trimestre 4,2177
2005-Trimestre 1,2121
2005-Trimestre 2,1969
2005-Trimestre 3,1784
2005-Trimestre 4,1860
2006-Trimestre 1,1943
2006-Trimestre 2,1835
2006-Trimestre 3,1767
2006-Trimestre 4,1820
2007-Trimestre 1,1863
2007-Trimestre 2,1773
2007-Trimestre 3,1806
2007-Trimestre 4,1942
2008-Trimestre 1,2191
2008-Trimestre 2,2386
2008-Trimestre 3,2601
2008-Trimestre 4,3207
2009-Trimestre 1,4018
2009-Trimestre 2,4140
2009-Trimestre 3,4121
2009-Trimestre 4,4335
2010-Trimestre 1,4618
2010-Trimestre 2,4655
2010-Trimestre 3,4585
2010-Trimestre 4,4702
2011-Trimestre 1,4921
2011-Trimestre 2,4844
2011-Trimestre 3,4998
2011-Trimestre 4,5287
2012-Trimestre 1,5668
2012-Trimestre 2,5731
2012-Trimestre 3,5824
2012-Trimestre 4,6021
2013-Trimestre 1,6278
2013-Trimestre 2,6047
2013-Trimestre 3,5943
2013-Trimestre 4,5936
2014-Trimestre 1,5933
2014-Trimestre 2,5623
2014-Trimestre 3,5428
2014-Trimestre 4,5458
2015-Trimestre 1,5445
2015-Trimestre 2,5149
2015-Trimestre 3,4851
2015-Trimestre 4,4780
2016-Trimestre 1,4791
2016-Trimestre 2,4575
2016-Trimestre 3,4321
2016-Trimestre 4,4238
2017-Trimestre 1,4255
2017-Trimestre 2,3914
2017-Trimestre 3,3732
2017-Trimestre 4,3767
2018-Trimestre 1,3796
2018-Trimestre 2,3490
2018-Trimestre 3,3326
2018-Trimestre 4,3304
2019-Trimestre 1,3354
2019-Trimestre 2,3231
2019-Trimestre 3,3215
2019-Trimestre 4,3192
2020-Trimestre 1,3313
2020-Trimestre 2,3368
2020-Trimestre 3,3723
2020-Trimestre 4,3720
2021-Trimestre 1,3654
2021-Trimestre 2,3544
